Sales,Customer Name,Commodity,HS Code,,,,,,,,,,,,,,,,,,,,,,,
AKE,"AJINOMOTO BETAGRO SPECIALTY FOODS CO., LTD.",FROZEN COOKED CHICKEN MEAT,160232,,,,,,,,,,,,,,,,,,,,,,,
AKE,B.FOOD PRODUCT,FROZEN CHICKEN,160232,,,,,,,,,,,,,,,,,,,,,,,
AKE,"BETAGRO MF DELI CO., LTD.",FROZEN CHICKEN,160232,,,,,,,,,,,,,,,,,,,,,,,
AKE,BETTER FOOD,FROZEN CHICKEN,160232,,,,,,,,,,,,,,,,,,,,,,,
AKE,BETTER FOOD,FRESH HEN'S EGG,04070091,,,,,,,,,,,,,,,,,,,,,,,
AKE,"CHOCKSAMUT MARINE CO.,LTD.",FROZEN SEAFOOD,160521,,,,,,,,,,,,,,,,,,,,,,,
AKE,CHEEVA RICE COMPANY LIMITED,RICE,100630,,,,,,,,,,,,,,,,,,,,,,,
AKE,FORTUNE PART,AUTO PARTS,870829,,,,,,,,,,,,,,,,,,,,,,,
AKE,GC-M PTA,PLASTIC RESIN,291736,,,,,,,,,,,,,,,,,,,,,,,
AKE,GRACE FOOD COMPANY LIMITED,FROZEN VEGETABLE,71022,,,,,,,,,,,,,,,,,,,,,,,
AKE,HAIER ELECTRIC (THAILAND) PUBLIC COMPANY LIMITED,ELECTRONIC GOODS,841810,,,,,,,,,,,,,,,,,,,,,,,
AKE,HIANG SENG FIBRE CONTAINER COMPANY LIMITED,PAPER KRAFT,480519,,,,,,,,,,,,,,,,,,,,,,,
AKE,KAONA POULTRY,FROZEN CHICKEN,160232,,,,,,,,,,,,,,,,,,,,,,,
AKE,"MAHAKIT RUBBER CO., LTD.",RUBBER PRODUCTS,401699,,,,,,,,,,,,,,,,,,,,,,,
AKE,MCKEY FOODS SERVICES,FROZEN CHICKEN,160232,,,,,,,,,,,,,,,,,,,,,,,
AKE,MARINE GOLD PRODUCT,FROZEN SEAFOOD,160529,,,,,,,,,,,,,,,,,,,,,,,
AKE,"PACIFIC MARINE FOOD PRODUCTS CO.,LTD",FROZEN CHICKEN,160232,,,,,,,,,,,,,,,,,,,,,,,
AKE,"PANJAPOL PAPER INDUSTRY CO.,LTD.",PAPER KRAFT,48043100,,,,,,,,,,,,,,,,,,,,,,,
AKE,SIAMCHAI INTERNATIONAL,FROZEN SEAFOOD,"030749, 030799",,,,,,,,,,,,,,,,,,,,,,,
AKE,SURAPON NICHIREI FOOD,FROZEN CHICKEN,160232,,,,,,,,,,,,,,,,,,,,,,,
AKE,THAI SEKISUI FOAM,THERMOBREAK PE FOAM,392119,,,,,,,,,,,,,,,,,,,,,,,
AKE,"The Siam Industrial Wire Co., Ltd.",WIRE PC STRAND,731210,,,,,,,,,,,,,,,,,,,,,,,
MEEN,AMPOL FOOD PROCESSING COMPANY LIMITED,FOODSTUFFS,,,,,,,,,,,,,,,,,,,,,,,,
MEEN,BANGKOK RANCH PUBLIC COMPANY LIMITED,FROZEN DUCK,02074590,,,,,,,,,,,,,,,,,,,,,,,
MEEN,BG CONTAINER GLASS PUBLIC,GLASS & GLASS PRODUCTS,701090,,,,,,,,,,,,,,,,,,,,,,,
MEEN,BUONO (THAILAND) PUBLIC COMPANY LIMITED,FROZEN DESSERT,21050000,,,,,,,,,,,,,,,,,,,,,,,
MEEN,CANTAGO / SKY FOOD,FROZEN CHICKEN,160232,,,,,,,,,,,,,,,,,,,,,,,
MEEN,CHIANGMAI FROZEN FOODS PUBLIC,FROZEN SWEET CORN KERNELS,071040,,,,,,,,,,,,,,,,,,,,,,,
MEEN,CHIANGMAI FROZEN FOODS PUBLIC,FROZEN SOY BEANS,071029,,,,,,,,,,,,,,,,,,,,,,,
MEEN,"CHUA HAH SENG FOOD PRODUCT CO., LTD.",FOODSTUFFS,210390,,,,,,,,,,,,,,,,,,,,,,,
MEEN,GFPT NICHIREI (THAILAND) COMPANY LIMITED,FROZEN CHICKEN,160232,,,,,,,,,,,,,,,,,,,,,,,
MEEN,GLOBO FOODS LTD.,FOODSTUFFS,,,,,,,,,,,,,,,,,,,,,,,,
MEEN,"GOLDEN PRIZE CANNING CO., LTD.",CANNED GOODS,16041400,,,,,,,,,,,,,,,,,,,,,,,
MEEN,"H.V. PLAS CO.,LTD.",PVC PRODUCTS,39181019,,,,,,,,,,,,,,,,,,,,,,,
MEEN,"LUCKY UNION FOODS CO.,LTD.",FROZEN IMITATION CRABMEAT,160420,,,,,,,,,,,,,,,,,,,,,,,
MEEN,MAS CHOICES CORPORATION LTD,CANNED FOOD,,,,,,,,,,,,,,,,,,,,,,,,
MEEN,MANORA FOOD INDUSTRY,FOODSTUFFS,19021130,,,,,,,,,,,,,,,,,,,,,,,
MEEN,NORTHEAST RUBBER PUBLIC COMPANY LIMITED,RUBBER PRODUCTS,Mixtures Rubber: 400280 / Rubber Bale: 400121,,,,,,,,,,,,,,,,,,,,,,,
MEEN,"S.P.A. INTERNATIONAL FOOD GROUP CO.,LTD.",CANNED FOOD,160414,,,,,,,,,,,,,,,,,,,,,,,
MEEN,"SIAM RISO WOOD PRODUCTS CO.,LTD.",PARTICLE BOARD,4410,,,,,,,,,,,,,,,,,,,,,,,
MEEN,"TANG SANG HAH CO.,LTD.",FISH SAUCE,,,,,,,,,,,,,,,,,,,,,,,,
MEEN,THEPPADUNGPORN COCONUT,FOODSTUFFS,21069,,,,,,,,,,,,,,,,,,,,,,,
MEEN,TD INTER SUPPLIES,MUNG BEAN VERMICELLI,190219,,,,,,,,,,,,,,,,,,,,,,,
