Sales,Customer Name,Commodity,HS Code,,,,,,,,,,,,,,,,,,,,,,,
PATTY,SAHA PATHANAPIBUL PLC.,CANNED FOOD,160415,,,,,,,,,,,,,,,,,,,,,,,
PATTY,"TAKEE 1950 CO.,LTD.",SAUCE,,,,,,,,,,,,,,,,,,,,,,,,
PATTY,"THAI FLOUR INDUSTRY CO.,LTD.",GLUTINOUS RICE,110290,,,,,,,,,,,,,,,,,,,,,,,
PATTY,"TIPCO F&B CO.,LTD.",FRUIT JUICE,,,,,,,,,,,,,,,,,,,,,,,,
PATTY,"TPK ABSOLUTE STARCH CO., LTD. ",STARCH,,,,,,,,,,,,,,,,,,,,,,,,
PATTY,"LENSO WHEEL CO.,LTD.",ALLOY WHEEL,870870,,,,,,,,,,,,,,,,,,,,,,,
GING,"TANASAN RICE CO.,LTD.",RICE,100630,,,,,,,,,,,,,,,,,,,,,,,
GING,THAI AGRI FOODS,,,,,,,,,,,,,,,,,,,,,,,,,
GING,THAI AGRI FOODS,CANNED FOOD,210390,,,,,,,,,,,,,,,,,,,,,,,
GING,"MARINA CENTRE CO.,LTD.",RICE,100630,,,,,,,,,,,,,,,,,,,,,,,
GING,NR INSTANT PRODUCE PUBLIC COMPANY LIMITED,FOODSTUFF,210390,,,,,,,,,,,,,,,,,,,,,,,
GING,"SIAM GOLDEN RICE CO.,LTD.",RICE,100630,,,,,,,,,,,,,,,,,,,,,,,
GING,THAI AGRI FOODS,CANNED MANGO DRINK,220210,,,,,,,,,,,,,,,,,,,,,,,
GING,"The Siam Industrial Wire Co., Ltd.",P.C. STRANDED WIRES,73121091,,,,,,,,,,,,,,,,,,,,,,,
GING,AGC Viny Thai,POLY /VINYL,390410,,,,,,,,,,,,,,,,,,,,,,,
GING,AGC VINYTHAI PUBLIC COMPANY LIMITED,POTASSIUM CARBONATE 99PCT MIN ,283640,,,,,,,,,,,,,,,,,,,,,,,
GING,SHERA PUBLIC COMPANY LIMITED,FIBRE CEMENT PRODUCTS,681182,,,,,,,,,,,,,,,,,,,,,,,
BD,"348 DECOR CO., LTD. ",FAUX LEATHER,,,,,,,,,,,,,,,,,,,,,,,,
BD,"SPAKITS CO.,LTD.",SPA PRODUCTS,610822,,,,,,,,,,,,,,,,,,,,,,,
BD,"ABD KHAN CO., LTD.",CANNED FOOD,160414,,,,,,,,,,,,,,,,,,,,,,,
BD,"ADVANCE FIBER CO.,LTD.",MDF BOARD,,,,,,,,,,,,,,,,,,,,,,,,
BD,"ADEKA FINE CHEMICAL (THAILAND) CO.,LTD",PLASTICIZER,,,,,,,,,,,,,,,,,,,,,,,,
BD,"AEROFLEX CO.,LTD.",RUBBER INSULATION TUBE,"4009.11.00, 4017.00.90",,,,,,,,,,,,,,,,,,,,,,,
BD,"AEROKLAS CO.,LTD.","AUTOPARTS / SPARE PARTS(BED LINER, CANOPY, U-BOX, FRAMEGUARD, SIDE STE)",8708290000,,,,,,,,,,,,,,,,,,,,,,,
BD,AI ENERGY PUBLIC COMPANY LIMITED.,REFINED GLYCERINE/ CRUDE GLYCERIN,AEROKLAS,,,,,,,,,,,,,,,,,,,,,,,
BD,AKZO NOBEL PAINTS (THAILAND) LTD,PAINTING COLOR,,,,,,,,,,,,,,,,,,,,,,,,
BD,"ALLIANCE LAUNDRY (THAILAND) CO.,LTD. ",DRYING TUMBLERS,,,,,,,,,,,,,,,,,,,,,,,,
BD,AMAIR LIMITED,AIR CONDITIONERS,,,,,,,,,,,,,,,,,,,,,,,,
BD,Apaiser bathware (thailand) ltd.,BATHROOM ACESSORIES ,,,,,,,,,,,,,,,,,,,,,,,,
BD,"APCB ELECTRONICS (THAILAND) CO.,LTD.",ELECTRONIC GOODS,,,,,,,,,,,,,,,,,,,,,,,,
BD,ARCELIK HITACHI HOME APPLIANCES (THAILAND) LTD.,REFRIGERATOR,841800,,,,,,,,,,,,,,,,,,,,,,,
BD,"ARTITH VENTILATORS LTD., PART.",ROOF VENTILATORS,8414.59.49  for Roof Ventilators/,,,,,,,,,,,,,,,,,,,,,,,
BD,,,8419.90.29  for Adapter of Roof Ventilators,,,,,,,,,,,,,,,,,,,,,,,
BD,"ASIA GOLDEN RICE CO.,LTD.",RICE,100630,,,,,,,,,,,,,,,,,,,,,,,
BD,"ASIA SPORTS CO.,LTD",TENNIS BALL,,,,,,,,,,,,,,,,,,,,,,,,
BD,ASIAN ALLIANCE INTERNATIONAL PUBLIC COMPANY LIMITED (HEAD OFFICE),CANNED PET FOODS,230910,,,,,,,,,,,,,,,,,,,,,,,
BD,"ASIAN HONDA MOTOR CO.,LTD.",MACHINERY & EQUIPMENT,,,,,,,,,,,,,,,,,,,,,,,,
BD,AWACS CORPORATION LTD.,SWITCHGEAR PARTS,,,,,,,,,,,,,,,,,,,,,,,,
BD,"B.K. LATEX PRODUCTS CO., LTD",LATEX BALLOONS ,,,,,,,,,,,,,,,,,,,,,,,,
BD,"BAGS AND GLOVES CO.,LTD.",BAGS AND GLOVES,,,,,,,,,,,,,,,,,,,,,,,,
BD,,PLASTIC APPRON,392620,,,,,,,,,,,,,,,,,,,,,,,
BD,"BANGKOK INTER FOOD CO.,LTD.",TAPIOCA STARCH,,,,,,,,,,,,,,,,,,,,,,,,
BD,"BEKO THAI CO.,LTD.",REFRIGERATOR,841810,,,,,,,,,,,,,,,,,,,,,,,
BD,"Best Global Logistics Co., Ltd.",TILES,,,,,,,,,,,,,,,,,,,,,,,,
BD,BIODEGRADABLE PACKAGING FOR ENVIRONMENT PUBLIC COMPANY LIMITED (HEAD OFFICE),PAPER PULP TABLEWARE,482370,,,,,,,,,,,,,,,,,,,,,,,
BD,"BHAVIKA INTERNATIONAL CO.,LTD.",PIGEON BRAND,39249090,,,,,,,,,,,,,,,,,,,,,,,
BD,"BS MANUFACTURING CO.,LTD",FROZEN SEAFOOD,,,,,,,,,,,,,,,,,,,,,,,,
BD,"BTRADE CENTRE CO.,LTD.",AIR CONDITIONER PARTS,84159019,,,,,,,,,,,,,,,,,,,,,,,
BD,BUONO (THAILAND) PUBLIC COMPANY LIMITED,FROZEN DESSERT,21050000,,,,,,,,,,,,,,,,,,,,,,,
BD,"CARRIER AIR CONDITIONING (THAILAND) CO.,LTD.",AIR CONDITIONERS,841582,,,,,,,,,,,,,,,,,,,,,,,
BD,"C.P. INTERTRADE CO.,LTD.",RICE,,,,,,,,,,,,,,,,,,,,,,,,
BD,"C.S.B. METAL WORKS CO.,LTD.",VEHICLE AND PARTS,,,,,,,,,,,,,,,,,,,,,,,,
BD,"Calbee Tanawat Co., Ltd",SNACK,19049010,,,,,,,,,,,,,,,,,,,,,,,
BD,CCI AUTOMOTIVE PRODUCTS COMPANY LIMITED,AUTOMOTIVE PARTS,,,,,,,,,,,,,,,,,,,,,,,,
BD,"CHAI WATANA TANNERY GROUP PUBLIC CO.,LTD.",DOG CHEW,,,,,,,,,,,,,,,,,,,,,,,,
BD,CHENGPRES COMPANY LIMITED,CERAMIC,,,,,,,,,,,,,,,,,,,,,,,,
BD,"CHIRA AUTOMOTIVE (2000) CO.,LTD.",AUTO SPARE PARTS,,,,,,,,,,,,,,,,,,,,,,,,
BD,"CHOK CHAI STARCH CO., LTD.",FOODSTUFFS,,,,,,,,,,,,,,,,,,,,,,,,
BD,CHOTIWAT MANUFACTURING PUBLIC COMPANY LIMITED,CANNED FOOD,230910,,,,,,,,,,,,,,,,,,,,,,,
BD,"CHUSILP GROUP TRADING CO., LTD.",AUTO ACCESSORIES,,,,,,,,,,,,,,,,,,,,,,,,
BD,"CITYFARM INTERFOOD CO., LTD.","BEVERAGE, SPIRITS AND VINEGAR",,,,,,,,,,,,,,,,,,,,,,,,
BD,"Cocos Enterprises (Thailand) Co.,Ltd.",COCONUT MILK,,,,,,,,,,,,,,,,,,,,,,,,
BD,,COCONUT WATER,20098992,,,,,,,,,,,,,,,,,,,,,,,
BD,"COMOS CORPORATION CO.,LTD.",PLASTIC COOLER,392390,,,,,,,,,,,,,,,,,,,,,,,
BD,"COSMOS BREWERY (THAILAND) CO., LTD",BEER,,,,,,,,,,,,,,,,,,,,,,,,
BD,D.H.A SIAMWALLA LTD.,STATIONERY & OFFICE SUPPLIES,392610/ 482030,,,,,,,,,,,,,,,,,,,,,,,
BD,"DAIWA SEIKO (THAILAND) CO.,LTD.",FISHING REELS,,,,,,,,,,,,,,,,,,,,,,,,
BD,"DE SMIT FOOD INTERNATIONAL CO., LTD.",FOODSTUFFS,,,,,,,,,,,,,,,,,,,,,,,,
BD,DEESTONE CORPORATION PUBLIC COMPANY LIMITED,TIRES,,,,,,,,,,,,,,,,,,,,,,,,
BD,"DINGHENG NEW MATERIALS CO.,LTD",ALUMINIUM FOIL,760719,,,,,,,,,,,,,,,,,,,,,,,
BD,DUBUIT FAR EAST LTD.,SCREEN PRINTING MACHINE,,,,,,,,,,,,,,,,,,,,,,,,
BD,"DUNI (THAILAND) CO., LTD.",PLASTIC FILM,,,,,,,,,,,,,,,,,,,,,,,,
BD,,PAPER NAPKIN,48183020,,,,,,,,,,,,,,,,,,,,,,,
BD,,TISSUE COASTER,48234090,,,,,,,,,,,,,,,,,,,,,,,
BD,EBARA THERMAL SYSTEMS (THAILAND) CO. LTD,COOLING TOWER,,,,,,,,,,,,,,,,,,,,,,,,
BD,"EBRO VALVES (THAILAND) CO.,LTD",VALVES,,,,,,,,,,,,,,,,,,,,,,,,
BD,"ELECTROLUX THAILAND CO.,LTD.",REFRIGERATOR,,,,,,,,,,,,,,,,,,,,,,,,
BD,"FANG INTER FOODS CO.,LTD.",CANNED GOODS,,,,,,,,,,,,,,,,,,,,,,,,
BD,"FLORENCE INTER TRADING CO., LTD.",FROZEN SEAFOOD,160559,,,,,,,,,,,,,,,,,,,,,,,
BD,"FOOD SPECIALIZE CO.,LTD.",FOODSTUFFS,210390,,,,,,,,,,,,,,,,,,,,,,,
BD,FORTUNE PARTS INDUSTRY PUBLIC COMPANY LIMITED.,AUTOPARTS / SPARE PARTS,870829,,,,,,,,,,,,,,,,,,,,,,,
BD,"GENERAL RUBBER (THAILAND) CO.,LTD.",TIRES,40111000,,,,,,,,,,,,,,,,,,,,,,,
BD,"GIANTLOK (THAILAND) CO.,LTD.",CABLE TIES,,,,,,,,,,,,,,,,,,,,,,,,
BD,"GINGEN FOOD PRODUCTS CO.,LTD",FOODSTUFFS,,,,,,,,,,,,,,,,,,,,,,,,
BD,"KYOKUYO GLOBAL SEAFOODS CO., LTD.",FROZEN SEAFOOD,190490,,,,,,,,,,,,,,,,,,,,,,,
BD,LOBAL GREEN CHEMICALS PUBLIC COMPANY LIMITED,FATTY PALM ACID ,,,,,,,,,,,,,,,,,,,,,,,,
BD,GREEN PANEL COMPANY LIMITED ,MDF BOARD,,,,,,,,,,,,,,,,,,,,,,,,
BD,"H.V. PLAS CO.,LTD.",PVC PRODUCTS,39181019,,,,,,,,,,,,,,,,,,,,,,,
BD,"HANUMAN INTERFREIGHT (THAILAND) CO., LTD.",AUTO PARTS,,,,,,,,,,,,,,,,,,,,,,,,
BD,"HUTEK (ASIA) CO.,LTD., THAILAND",CELPAD / COOLIJNG PAD,48239099,,,,,,,,,,,,,,,,,,,,,,,
BD,"IDEMITSU LUBRICANTS (THAILAND) CO.,LTD",LUBRICANT OIL,,,,,,,,,,,,,,,,,,,,,,,,
BD,INSULTEC INTERNATIONAL LIMITED,MACHINERY & EQUIPMENT,,,,,,,,,,,,,,,,,,,,,,,,
BD,IRONMAN 4 BY 4 (THAILAND) LTD.,AUTO PARTS,,,,,,,,,,,,,,,,,,,,,,,,
BD,"JANOME (THAILAND) CO., LTD.",MACHINERY & EQUIPMENT,,,,,,,,,,,,,,,,,,,,,,,,
BD,"JANOME (THAILAND) CO., LTD.",Sewing Machines,845210,,,,,,,,,,,,,,,,,,,,,,,
BD,JASCORP ENTERPRISE PTE LTD,CHALK,,,,,,,,,,,,,,,,,,,,,,,,
BD,JELLY BELLY CANDY COMPANY (THAILAND) LTD. (HEAD OFFICE),CANDIES,1704.90.99,,,,,,,,,,,,,,,,,,,,,,,
BD,JELLY BELLY CANDY COMPANY (THAILAND) LTD. (HEAD OFFICE),CHOCOLATES,1806.90.90,,,,,,,,,,,,,,,,,,,,,,,
BD,"JN KITCHENWORLD CO.,LTD",KITCHENWARE,,,,,,,,,,,,,,,,,,,,,,,,
BD,"K.S.L EXPORT TRADING CO.,LTD.",SUGAR AND SUGAR CONFECTIONARY,,,,,,,,,,,,,,,,,,,,,,,,
BD,"KANI BANGKOK BUSINESS CO.,LTD.",AUTO PARTS,,,,,,,,,,,,,,,,,,,,,,,,
BD,"KF FOOD CO., LTD.",FROZEN SEAFOOD,"030461, 160529",,,,,,,,,,,,,,,,,,,,,,,
BD,"KINGFISHER HOLDINGS CO., LTD.",FROZEN PRODUCTS(PROCESSED AGRICULTURAL P,030743,,,,,,,,,,,,,,,,,,,,,,,
BD,KITZ (THAILAND) LTD.,VALVES,84818090,,,,,,,,,,,,,,,,,,,,,,,
BD,"KODANMAL GROUP CO., LTD.",CANNED KERNEL CORN,200580,,,,,,,,,,,,,,,,,,,,,,,
BD,KOHLER (THAILAND) PUBLIC COMPANY LIMITED,SCREEN PRINTING MACHINE,,,,,,,,,,,,,,,,,,,,,,,,
BD,KRITSANAKORN ORGANIC FARM,RICE,,,,,,,,,,,,,,,,,,,,,,,,
BD,"LEECO KOGYO CO., LTD.",FIRE RESISTANT SAFES,83030000,,,,,,,,,,,,,,,,,,,,,,,
BD,"LHIANTHAI RICE VERMICELLI CO., LTD.",FOODSTUFFS,,,,,,,,,,,,,,,,,,,,,,,,
BD,"LUCKY UNION FOODS CO.,LTD.",FROZEN IMITATION CRABMEAT,160420,,,,,,,,,,,,,,,,,,,,,,,
BD,LUCY ELECTRIC (THAILAND) LIMITED,SWITCHGEAR PARTS,85353090,,,,,,,,,,,,,,,,,,,,,,,
BD,"MAHJEB DOG GOODS SHOP (THAILAND) CO.,LTD.",DOG GOODS ,,,,,,,,,,,,,,,,,,,,,,,,
BD,MAKE SCENTS LIMITED,UNDERWEAR,,,,,,,,,,,,,,,,,,,,,,,,
BD,"MARK MOTORS (THAILAND) CO.,LTD",MOTOR PARTS,,,,,,,,,,,,,,,,,,,,,,,,
BD,"Mitsubishi Heavy Industries - Mahajak Air Conditioners Co.,Ltd.",AUTO AIR-CONDITIONING PARTS,841510,,,,,,,,,,,,,,,,,,,,,,,
BD,MOST INTERNATIONAL COMPANY LIMITED,BASIL SEED DRINK,,,,,,,,,,,,,,,,,,,,,,,,
BD,"MS. BEAUTY LINE CO., LTD.",HYGIENE&PERSONAL CARE PRODUCTS&,,,,,,,,,,,,,,,,,,,,,,,,
BD,"MS. BEAUTY LINE CO., LTD.",COSMETICS,,,,,,,,,,,,,,,,,,,,,,,,
BD,"Multibax Public Co.,Ltd.",PLASTIC BAG,,,,,,,,,,,,,,,,,,,,,,,,
BD,MULTILINK CORPORATION LTD.,BABY GARMENTS,61112000,,,,,,,,,,,,,,,,,,,,,,,
BD,"N.B.VALUE LINK CO., LTD.",CANNED FOOD,20098190,,,,,,,,,,,,,,,,,,,,,,,
BD,"NARA GLOBAL CO., LTD.",MODELING CLAY,34070010,,,,,,,,,,,,,,,,,,,,,,,
BD,"New Lamthong Foods Industries Co., Ltd.",CANNED FRUITS,,,,,,,,,,,,,,,,,,,,,,,,
BD,"NUTRIX PUBLIC CO.,LTD",PET FOOD,,,,,,,,,,,,,,,,,,,,,,,,
BD,OCEAN GLASS PUBLIC COMPANY LIMITED,GLASS & GLASS PRODUCTS,"70132800,70133700,70134900,70139900,70109000",,,,,,,,,,,,,,,,,,,,,,,
BD,"OPI INTERNATIONAL CO.,LTD",COOLER BOX,,,,,,,,,,,,,,,,,,,,,,,,
BD,"OTANI RADIAL CO., LTD.",RUBBER PRODUCTS,401120,,,,,,,,,,,,,,,,,,,,,,,
BD,"P.C. PRODUCTS INTERNATIONAL CO., LTD.",WHEEL WEIGHT,,,,,,,,,,,,,,,,,,,,,,,,
BD,"PACIFIC SUGAR CO.,LTD.",SUGAR AND SUGAR CONFECTIONARY,17019910,,,,,,,,,,,,,,,,,,,,,,,
BD,PAN ASIA FOOTWEAR PUBLIC COMPANY LIMITED,FOOTWEAR & PARTS,,,,,,,,,,,,,,,,,,,,,,,,
BD,PATAYA FOOD INDUSTRIES LTD.,CANNED FOOD,230910,,,,,,,,,,,,,,,,,,,,,,,
BD,"PERFECT COMPANION GROUP CO.,LTD.",CANNED PET FOOD,230910,,,,,,,,,,,,,,,,,,,,,,,
BD,Pioneer Motor Public Company Ltd,MOTOR PARTS,,,,,,,,,,,,,,,,,,,,,,,,
BD,"PONGLARP CO.,LTD.",RICE,100630,,,,,,,,,,,,,,,,,,,,,,,
BD,"POTENTIAL SMARTTOP CO.,LTD.",FIBERGLASS,870899,,,,,,,,,,,,,,,,,,,,,,,
BD,PRECISION VALVE (THAILAND) COMPANY LIMITED,AEROSOL VALVE,,,,,,,,,,,,,,,,,,,,,,,,
BD,PRESIDENT AUTOMOBILE INDUSTRIES PUBLIC COMPANY LIMITED,AIR CONDITIONER PARTS,84159000,,,,,,,,,,,,,,,,,,,,,,,
BD,"PRIME PRODUCTS INDUSTRY CO., LTD.",CANNED FOOD ,,,,,,,,,,,,,,,,,,,,,,,,
BD,PRIMO OIL COMPANY LIMITED,CRUDE GLYCERIN,,,,,,,,,,,,,,,,,,,,,,,,
BD,"PTAP Intertrade Co., Ltd.",AUTOPARTS / SPARE PARTS,,,,,,,,,,,,,,,,,,,,,,,,
BD,PTT GLOBAL CHEMICAL PUBLIC COMPANY LIMITED.,POLYETHYLENE,39011099,,,,,,,,,,,,,,,,,,,,,,,
BD,PTT GLOBAL CHEMICAL PUBLIC COMPANY LIMITED.,CHEMICAL (HAZARDOUS),29072300,,,,,,,,,,,,,,,,,,,,,,,
BD,"QUALITY CERAMIC CO.,LTD",CERAMIC,,,,,,,,,,,,,,,,,,,,,,,,
BD,"RIKKEI TRADING (THAILAND) CO.,LTD.",MODIFIED TAPIOCA STARCH,,,,,,,,,,,,,,,,,,,,,,,,
BD,RUBBERLAND PRODUCTS COMPANY LIMITED,RUBBER PRODUCTS,,,,,,,,,,,,,,,,,,,,,,,,
BD,"S.P.A. INTERNATIONAL FOOD GROUP CO.,LTD.",CANNED FOOD,,,,,,,,,,,,,,,,,,,,,,,,
BD,"SAMRUAY ENGINEERING CO.,LTD",AIR CONDITIONER PARTS,,,,,,,,,,,,,,,,,,,,,,,,
BD,"SCG LOGISTICS MANAGEMENT CO.,LTD",SMARTBOARD,,,,,,,,,,,,,,,,,,,,,,,,
BD,"SIAM BICENT COMMERCIAL CO.,LTD.",CANNED FOOD,,,,,,,,,,,,,,,,,,,,,,,,
BD,"SIAM FLEX PACK CO.,LTD",PLASTIC BAG,,,,,,,,,,,,,,,,,,,,,,,,
BD,Siam International Food Company Limited,CANNED FOOD,,,,,,,,,,,,,,,,,,,,,,,,
BD,"SIAM PART PRODUCER CO.,LTD.",CAR ACCESSORIES,,,,,,,,,,,,,,,,,,,,,,,,
BD,"SIAM RISO WOOD PRODUCTS CO.,LTD.",MDF BOARD,441011,,,,,,,,,,,,,,,,,,,,,,,
BD,SIAM SUGAR EXPORT CORPORATION LTD.,SUGAR AND SUGAR CONFECTIONARY,,,,,,,,,,,,,,,,,,,,,,,,
BD,"Siam TN Enterprise Co.,Ltd.",PVC PIPE FITTINGS,,,,,,,,,,,,,,,,,,,,,,,,
BD,"SHINKI (THAILAND) CO.,LTD.",SUMITOMO BRAND TIRES ,,,,,,,,,,,,,,,,,,,,,,,,
BD,"SMS CORPORATION CO., LTD. (HEAD OFFICE)",MODIFIED TAPIOCA STARCH,350510,,,,,,,,,,,,,,,,,,,,,,,
BD,SOLVAY (BANGPOO) SPECIALTY CHEMICALS LTD,ISOPROPANAL,,,,,,,,,,,,,,,,,,,,,,,,
BD,SOUTHEAST ASIAN PACKAGING AND CANNING  LTD.,CANNED FOOD,160414,,,,,,,,,,,,,,,,,,,,,,,
BD,SOUTHEAST ASIAN PACKAGING AND CANNING  LTD.,CANNED PET FOODS,230910,,,,,,,,,,,,,,,,,,,,,,,
BD,SRI TRANG GLOVES (THAILAND) PUBLIC COMPANY LIMITED ,LATEX GLOVES,401511,,,,,,,,,,,,,,,,,,,,,,,
BD,STAEDTLER (THAILAND) LTD.,FIBRE TIP PEN,9608.20.00,,,,,,,,,,,,,,,,,,,,,,,
BD,STAEDTLER (THAILAND) LTD.,WAX CRAYON,9609.90.30,,,,,,,,,,,,,,,,,,,,,,,
BD,STAEDTLER (THAILAND) LTD.,PENCIL CAP,9608.99.90,,,,,,,,,,,,,,,,,,,,,,,
BD,STAEDTLER (THAILAND) LTD.,OPP BAG,3923.29.90,,,,,,,,,,,,,,,,,,,,,,,
BD,STAEDTLER (THAILAND) LTD.,PLASTIC BOX EMPTY,3926.10.00,,,,,,,,,,,,,,,,,,,,,,,
BD,STAEDTLER (THAILAND) LTD.,RULER,9017.20.10,,,,,,,,,,,,,,,,,,,,,,,
BD,"SUMMIT FOOTWEAR CO.,LTD",FOOTWEAR & PARTS,640299,,,,,,,,,,,,,,,,,,,,,,,
BD,"SUREE INTERFOODS CO.,LTD.",SAUCE,,,,,,,,,,,,,,,,,,,,,,,,
BD,SCGJWD LOGISTICS PUBLIC COMPANY LIMITED,FIBER CEMENT BOARD (SCG BRAND),681182,,,,,,,,,,,,,,,,,,,,,,,
BD,"T.I.T. INTERNATIONAL CO.,LTD. ",LAMP,,,,,,,,,,,,,,,,,,,,,,,,
BD,Taokaenoi Food&Marketing Public Company Limited,SNACK,,,,,,,,,,,,,,,,,,,,,,,,
BD,THAI ENERGY STORAGE TECHNOLOGY PLC.,DRY BATTERIES,,,,,,,,,,,,,,,,,,,,,,,,
BD,"THAI GARMENT EXPORT CO.,LTD",TEXTILES / GARMENTS/FASHION ACESSORIES,,,,,,,,,,,,,,,,,,,,,,,,
BD,"THAI GYPSUM PRODUCTS PUBLIC CO., LTD.",GYPSUM PLASTER,25202090,,,,,,,,,,,,,,,,,,,,,,,
BD,"THAI FISHSAUCE FACTORY CO.,LTD.",FISH SAUCE,,,,,,,,,,,,,,,,,,,,,,,,
BD,"Thai Lee food international co.,ltd.",FOODSTUFFS,,,,,,,,,,,,,,,,,,,,,,,,
BD,"THAI PRESERVED FOOD FACTORY CO., LTD. ",INSTANT NOODLES,19021920,,,,,,,,,,,,,,,,,,,,,,,
BD,"THAI POLYETHYLENE CO., LTD.",POLYETHYLENE,390120,,,,,,,,,,,,,,,,,,,,,,,
BD,"Thai Roong ruang industry co.,ltd.",SUGAR AND SUGAR CONFECTIONARY,,,,,,,,,,,,,,,,,,,,,,,,
BD,"THAI SUGAR INDUSTRY CO., LTD.",SUGAR AND SUGAR CONFECTIONARY,,,,,,,,,,,,,,,,,,,,,,,,
BD,"THAI SUZUKI MOTOR CO.,LTD.",OUTBOARD MOTOR,,,,,,,,,,,,,,,,,,,,,,,,
BD,"THAI TEXTILE INDUSTRY PUBLIC CO., LTD",TEXTILES / GARMENTS/FASHION ACESSORIES,,,,,,,,,,,,,,,,,,,,,,,,
BD,"THAI VATANA PLASTIC CO.,LTD.",PVC PRODUCTS,,,,,,,,,,,,,,,,,,,,,,,,
BD,"THAI WORLD IMPORT & EXPORT CO., LTD.",FOODSTUFFS,,,,,,,,,,,,,,,,,,,,,,,,
BD,THAIMAC STR COMPANY LIMITED,NATURAL RUBBER,,,,,,,,,,,,,,,,,,,,,,,,
BD,"THE M CORP GLOBAL CO., LTD.",TIRES,40111000,,,,,,,,,,,,,,,,,,,,,,,
BD,"THE THAI SUGAR TRADING CORP., LTD.",SUGAR AND SUGAR CONFECTIONARY,,,,,,,,,,,,,,,,,,,,,,,,
BD,"TOSHIBA CONSUMER PRODUCTS (THAILAND) CO.,LTD.",PARTS FOR WASHING MACHINE ,,,,,,,,,,,,,,,,,,,,,,,,
BD,"TOUMI FOODS AND PRODUCT CO.,LTD.",RICE,10063099,,,,,,,,,,,,,,,,,,,,,,,
BD,TOUMI INTERTRADE COMPANY LIMITED,RICE,10063099,,,,,,,,,,,,,,,,,,,,,,,
BD,TRI-WALL PACKAGING (THAI) LTD.,CORRUGATED PAPERBOARD SHEET,48081000,,,,,,,,,,,,,,,,,,,,,,,
BD,"TROPICAL CANNING (THAILAND) PUBLIC CO., LTD. ",CANNED PET FOODS,230910,,,,,,,,,,,,,,,,,,,,,,,
BD,UDX COMPANY LIMITED,BATTERY,,,,,,,,,,,,,,,,,,,,,,,,
BD,"UNIVERSAL SPORTING GOODS (THAI) CO.,LTD.",TENNIS BALLS,95066100,,,,,,,,,,,,,,,,,,,,,,,
BD,UNICORD PUBLIC COMPANY LIMITED,CANNED PET FOODS,230910,,,,,,,,,,,,,,,,,,,,,,,
BD,"UNIQUE FOOD AND BEVERAGE CO.,LTD. ","BEVERAGE, SPIRITS AND VINEGAR / COCONUT MILK (GOLD VALLEY BRAND)",2109.60.63,,,,,,,,,,,,,,,,,,,,,,,
BD,UNILEVER THAI TRADING LIMITED ,HAIR SHAMPOOS,33051000,,,,,,,,,,,,,,,,,,,,,,,
BD,"URAI PHANICH CO.,LTD. ",ADHESIVE LATEX,,,,,,,,,,,,,,,,,,,,,,,,
BD,"V. THAI FOOD PRODUCT CO.,LTD.",FOODSTUFFS,200990,,,,,,,,,,,,,,,,,,,,,,,
BD,VANDAPAC COMPANY LIMITED.,CAR ACCESSORIES,87082919,,,,,,,,,,,,,,,,,,,,,,,
BD,"VEE TYRE AND RUBBER CO.,LTD",RUBBER TIRE,,,,,,,,,,,,,,,,,,,,,,,,
BD,"VEGA BALLS MANUFACTURING CO.,LTD.",BASKETBALL,,,,,,,,,,,,,,,,,,,,,,,,
BD,"VILLEROY & BOCH (THAILAND) CO.,LTD.",SANITARYWARE /CERAMIC,,,,,,,,,,,,,,,,,,,,,,,,
BD,WISEWOODS COMPANY LIMITED,MDF BOARD,"44111200, 44111300",,,,,,,,,,,,,,,,,,,,,,,
BD,"WORA INTERTRADE CO.,LTD.",AUTOPARTS / SPARE PARTS,8708.990-409 (AUTOMOTIVE SPARE PARTS : muara),,,,,,,,,,,,,,,,,,,,,,,
BD,,,8708.9199  FOR KLANG WEST,,,,,,,,,,,,,,,,,,,,,,,
BD,,,8708.9990 for KARACHI,,,,,,,,,,,,,,,,,,,,,,,
BD,,Fire Truck ,8705.30.00,,,,,,,,,,,,,,,,,,,,,,,
BD,"WORLD AEROPLAST CO., LTD.",FOAM,84159019,,,,,,,,,,,,,,,,,,,,,,,
BD,"WORLD SUGAR EXPORT CO.,LTD.",REFINED SUGAR,170199,,,,,,,,,,,,,,,,,,,,,,,
BD,XPD GLOBAL (THAILAND) LTD,,,,,,,,,,,,,,,,,,,,,,,,,
BD,"Yamamori Trading Co.,Ltd.",SAUCE,210310,,,,,,,,,,,,,,,,,,,,,,,
BD,"YONEX TECNIFIBRE CO., LTD.",SPORTING GOODS,,,,,,,,,,,,,,,,,,,,,,,,
BD,"YORK IMPEX CO.,LTD.",RUBBER BANDS,40169930,,,,,,,,,,,,,,,,,,,,,,,
BD,"A.M.C. Motor (Amornchai) Co., Ltd",LAMP,,,,,,,,,,,,,,,,,,,,,,,,
BD,"SWAN SIAM CORPORATION CO.,LTD.",BARE COMPRESSOR,841480,,,,,,,,,,,,,,,,,,,,,,,
BD,"Oriental Food Co., Ltd.",Rice Stick,190219,,,,,,,,,,,,,,,,,,,,,,,
BD,"Siam Ocean Frozen Foods Co.,Ltd.",FROZEN SEAFOOD,030743,,,,,,,,,,,,,,,,,,,,,,,
BD,SCG International Corporation Co Ltd,Gypsum Board,68091100,,,,,,,,,,,,,,,,,,,,,,,
